n_genes,cv_auc_mean,cv_auc_std,sensitivity,specificity
1,0.9939545596016185,0.003087574292730763,0.9858156028368794,0.9387755102040817
2,0.9966181139122317,0.0039040576539514115,0.9929078014184397,0.9387755102040817
3,1.0,0.0,0.9858156028368794,1.0
5,1.0,0.0,1.0,1.0
10,1.0,0.0,1.0,1.0
25,1.0,0.0,1.0,1.0
50,1.0,0.0,0.9976359338061466,1.0
100,1.0,0.0,0.9976359338061466,1.0
300,1.0,0.0,0.9952718676122931,1.0
1000,1.0,0.0,0.9952718676122931,1.0
