n_minority,auc_mean,auc_std,n_folds
10,0.9985561049263125,0.001362209260752021,15
20,0.9989423161806897,0.0007766011924685803,15
40,0.9992225118327602,0.0006884607917173604,15
80,0.999449909797227,0.0004592941278735062,15
150,0.9996601625136192,0.0003688214737266368,15
