normalization,tcga_cv_auc,tcga_sensitivity,tcga_specificity,threshold,n_healthy,healthy_flagged,healthy_false_positive_rate,fpr_ci_low,fpr_ci_high,healthy_mean_risk
logtpm,0.9997174995505567,0.9919282511210762,1.0,0.9067670702934265,180,11,0.06111111111111111,0.03446271356843876,0.10610111238497712,0.1560438722372055
zsample,0.999758083966141,0.9901345291479821,1.0,0.8919421434402466,180,6,0.03333333333333333,0.015364790984832809,0.0708043404086727,0.11296412348747253
rank,0.9996363307193878,0.9955156950672646,1.0,0.6250823736190796,180,14,0.07777777777777778,0.046893422637744854,0.12630722005161726,0.10330042243003845
