normalization,threshold,n_adjacent,adjacent_called_tumor,adjacent_error_rate,err_ci_low,err_ci_high,adjacent_mean_risk
logtpm,0.586891233921051,111,72,0.6486486486486487,0.5562227910850616,0.7311298804925787,0.6629447340965271
zsample,0.2562355697154999,111,92,0.8288288288288288,0.7480684077980693,0.8875905323585285,0.7209233045578003
rank,0.2697131335735321,111,93,0.8378378378378378,0.7581819919602146,0.8948922616253312,0.7332867980003357
